participant_id,timestamp,time_to_finish,ui_mode,environment,fill_character,outlier_character,trial,trial_combined
4,1741775961544,4672,light_mode,light_env,o,e,1,1
4,1741775970111,8567,light_mode,light_env,0,8,2,2
4,1741775973751,3640,light_mode,light_env,v,u,3,3
4,1741775975191,1440,light_mode,light_env,T,7,4,4
4,1741775981983,6792,light_mode,light_env,e,o,5,5
4,1741775982494,511,light_mode,light_env,8,0,6,6
4,1741775986191,3697,light_mode,light_env,u,v,7,7
4,1741775993912,7721,light_mode,light_env,7,T,8,8
4,1741776004952,11040,light_mode,light_env,o,e,9,9
4,1741776012496,7544,light_mode,light_env,0,8,10,10
4,1741776013783,1287,light_mode,light_env,v,u,11,11
4,1741776015703,1920,light_mode,light_env,T,7,12,12
4,1741776017328,1625,light_mode,light_env,e,o,13,13
4,1741776019383,2055,light_mode,light_env,8,0,14,14
4,1741776020631,1248,light_mode,light_env,u,v,15,15
4,1741776035112,14481,light_mode,light_env,7,T,16,16
4,1741776036312,1200,light_mode,light_env,o,e,17,17
4,1741776037328,1016,light_mode,light_env,0,8,18,18
4,1741776040368,3040,light_mode,light_env,v,u,19,19
4,1741776042048,1680,light_mode,light_env,T,7,20,20
4,1741776044047,1999,light_mode,light_env,e,o,21,21
4,1741776063440,19393,light_mode,light_env,8,0,22,22
4,1741776065320,1880,light_mode,light_env,u,v,23,23
4,1741776066736,1416,light_mode,light_env,7,T,24,24
4,1741776067840,1104,light_mode,light_env,o,e,25,25
4,1741776081424,13584,light_mode,light_env,0,8,26,26
4,1741776083048,1624,light_mode,light_env,v,u,27,27
4,1741776086000,2952,light_mode,light_env,T,7,28,28
4,1741776114080,28080,light_mode,light_env,e,o,29,29
4,1741776132800,18720,light_mode,light_env,8,0,30,30
4,1741776135752,2952,light_mode,light_env,u,v,31,31
4,1741776183568,47816,light_mode,light_env,7,T,32,32
4,1741776185551,1983,light_mode,light_env,o,e,33,33
4,1741776188464,2913,light_mode,light_env,0,8,34,34
4,1741776189856,1392,light_mode,light_env,v,u,35,35
4,1741776191384,1528,light_mode,light_env,T,7,36,36
4,1741776205882,14498,light_mode,light_env,e,o,37,37
4,1741776225274,19392,light_mode,light_env,8,0,38,38
4,1741776227665,2391,light_mode,light_env,u,v,39,39
4,1741776232930,5265,light_mode,light_env,7,T,40,40
4,1741776401725,5560,dark_mode,dark_env,o,e,1,41
4,1741776494550,92825,dark_mode,dark_env,0,8,2,42
4,1741776500694,6144,dark_mode,dark_env,v,u,3,43
4,1741776507470,6776,dark_mode,dark_env,T,7,4,44
4,1741776510622,3152,dark_mode,dark_env,e,o,5,45
4,1741776541271,30649,dark_mode,dark_env,8,0,6,46
4,1741776545790,4519,dark_mode,dark_env,u,v,7,47
4,1741776562014,16224,dark_mode,dark_env,7,T,8,48
4,1741776563318,1304,dark_mode,dark_env,o,e,9,49
4,1741776615615,52297,dark_mode,dark_env,0,8,10,50
4,1741776659191,43576,dark_mode,dark_env,v,u,11,51
4,1741776662006,2815,dark_mode,dark_env,T,7,12,52
4,1741776663415,1409,dark_mode,dark_env,e,o,13,53
4,1741776670878,7463,dark_mode,dark_env,8,0,14,54
4,1741776675823,4945,dark_mode,dark_env,u,v,15,55
4,1741776676918,1095,dark_mode,dark_env,7,T,16,56
