participant_id,timestamp,time_to_finish,ui_mode,environment,fill_character,outlier_character,trial,trial_combined
12,1743067217757,16071,light_mode,light_env,o,e,1,1
12,1743067232550,14793,light_mode,light_env,0,8,2,2
12,1743067238806,6256,light_mode,light_env,v,u,3,3
12,1743067241398,2592,light_mode,light_env,T,7,4,4
12,1743067249022,7624,light_mode,light_env,e,o,5,5
12,1743067252502,3480,light_mode,light_env,8,0,6,6
12,1743067257062,4560,light_mode,light_env,u,v,7,7
12,1743067274823,17761,light_mode,light_env,7,T,8,8
12,1743067279434,4611,light_mode,light_env,o,e,9,9
12,1743067283878,4444,light_mode,light_env,0,8,10,10
12,1743067287006,3128,light_mode,light_env,v,u,11,11
12,1743067290671,3665,light_mode,light_env,T,7,12,12
12,1743067297167,6496,light_mode,light_env,e,o,13,13
12,1743067301030,3863,light_mode,light_env,8,0,14,14
12,1743067307455,6425,light_mode,light_env,u,v,15,15
12,1743067309886,2431,light_mode,light_env,7,T,16,16
12,1743067317871,7985,light_mode,light_env,o,e,17,17
12,1743067322911,5040,light_mode,light_env,0,8,18,18
12,1743067327119,4208,light_mode,light_env,v,u,19,19
12,1743067329999,2880,light_mode,light_env,T,7,20,20
12,1743067333407,3408,light_mode,light_env,e,o,21,21
12,1743067345663,12256,light_mode,light_env,8,0,22,22
12,1743067349863,4200,light_mode,light_env,u,v,23,23
12,1743067352759,2896,light_mode,light_env,7,T,24,24
12,1743067355815,3056,light_mode,light_env,o,e,25,25
12,1743067363406,7591,light_mode,light_env,0,8,26,26
12,1743067368847,5441,light_mode,light_env,v,u,27,27
12,1743067371807,2960,light_mode,light_env,T,7,28,28
12,1743067383639,11832,light_mode,light_env,e,o,29,29
12,1743067387192,3553,light_mode,light_env,8,0,30,30
12,1743067392159,4967,light_mode,light_env,u,v,31,31
12,1743067394751,2592,light_mode,light_env,7,T,32,32
12,1743067397328,2577,light_mode,light_env,o,e,33,33
12,1743067403183,5855,light_mode,light_env,0,8,34,34
12,1743067405463,2280,light_mode,light_env,v,u,35,35
12,1743067407512,2049,light_mode,light_env,T,7,36,36
12,1743067422279,14767,light_mode,light_env,e,o,37,37
12,1743067426287,4008,light_mode,light_env,8,0,38,38
12,1743067429279,2992,light_mode,light_env,u,v,39,39
12,1743067434967,5688,light_mode,light_env,7,T,40,40
12,1743067496919,1000,dark_mode,dark_env,o,e,1,41
12,1743067551838,54919,dark_mode,dark_env,0,8,2,42
12,1743067560575,8737,dark_mode,dark_env,v,u,3,43
12,1743067564511,3936,dark_mode,dark_env,T,7,4,44
12,1743067566671,2160,dark_mode,dark_env,e,o,5,45
12,1743067581758,15087,dark_mode,dark_env,8,0,6,46
12,1743067592086,10328,dark_mode,dark_env,u,v,7,47
12,1743067616135,24049,dark_mode,dark_env,7,T,8,48
12,1743067623047,6912,dark_mode,dark_env,o,e,9,49
12,1743067635951,12904,dark_mode,dark_env,0,8,10,50
12,1743067642719,6768,dark_mode,dark_env,v,u,11,51
12,1743067646511,3792,dark_mode,dark_env,T,7,12,52
12,1743067649375,2864,dark_mode,dark_env,e,o,13,53
12,1743067659423,10048,dark_mode,dark_env,8,0,14,54
12,1743067669854,10431,dark_mode,dark_env,u,v,15,55
12,1743067677406,7552,dark_mode,dark_env,7,T,16,56
12,1743067685902,8496,dark_mode,dark_env,o,e,17,57
12,1743067708190,22288,dark_mode,dark_env,0,8,18,58
12,1743067711638,3448,dark_mode,dark_env,v,u,19,59
12,1743067717414,5776,dark_mode,dark_env,T,7,20,60
12,1743067720575,3161,dark_mode,dark_env,e,o,21,61
12,1743067747278,26703,dark_mode,dark_env,8,0,22,62
12,1743067759062,11784,dark_mode,dark_env,u,v,23,63
12,1743067812110,53048,dark_mode,dark_env,7,T,24,64
12,1743067815375,3265,dark_mode,dark_env,o,e,25,65
12,1743067825463,10088,dark_mode,dark_env,0,8,26,66
12,1743067830639,5176,dark_mode,dark_env,v,u,27,67
12,1743067832887,2248,dark_mode,dark_env,T,7,28,68
12,1743067837567,4680,dark_mode,dark_env,e,o,29,69
12,1743067841166,3599,dark_mode,dark_env,8,0,30,70
12,1743067845711,4545,dark_mode,dark_env,u,v,31,71
12,1743067852111,6400,dark_mode,dark_env,7,T,32,72
12,1743067854406,2295,dark_mode,dark_env,o,e,33,73
12,1743067876878,22472,dark_mode,dark_env,0,8,34,74
12,1743067880367,3489,dark_mode,dark_env,v,u,35,75
