participant_id,timestamp,time_to_finish,ui_mode,environment,fill_character,outlier_character,trial,trial_combined
8,1741873524684,5017,light_mode,light_env,o,e,1,1
8,1741873532588,7904,light_mode,light_env,0,8,2,2
8,1741873540819,8231,light_mode,light_env,v,u,3,3
8,1741873544427,3608,light_mode,light_env,T,7,4,4
8,1741873554051,9624,light_mode,light_env,e,o,5,5
8,1741873561523,7472,light_mode,light_env,8,0,6,6
8,1741873567274,5751,light_mode,light_env,u,v,7,7
8,1741873569883,2609,light_mode,light_env,7,T,8,8
8,1741873574850,4967,light_mode,light_env,o,e,9,9
8,1741873606962,32112,light_mode,light_env,0,8,10,10
8,1741873612842,5880,light_mode,light_env,v,u,11,11
8,1741873614898,2056,light_mode,light_env,T,7,12,12
8,1741873618650,3752,light_mode,light_env,e,o,13,13
8,1741873634139,15489,light_mode,light_env,8,0,14,14
8,1741873640171,6032,light_mode,light_env,u,v,15,15
8,1741873646962,6791,light_mode,light_env,7,T,16,16
8,1741873649154,2192,light_mode,light_env,o,e,17,17
8,1741873651162,2008,light_mode,light_env,0,8,18,18
8,1741873657386,6224,light_mode,light_env,v,u,19,19
8,1741873662418,5032,light_mode,light_env,T,7,20,20
8,1741873672650,10232,light_mode,light_env,e,o,21,21
8,1741873674794,2144,light_mode,light_env,8,0,22,22
8,1741873677618,2824,light_mode,light_env,u,v,23,23
8,1741873680202,2584,light_mode,light_env,7,T,24,24
8,1741873682211,2009,light_mode,light_env,o,e,25,25
8,1741873690634,8423,light_mode,light_env,0,8,26,26
8,1741873694691,4057,light_mode,light_env,v,u,27,27
8,1741873697595,2904,light_mode,light_env,T,7,28,28
8,1741873715714,18119,light_mode,light_env,e,o,29,29
8,1741873718042,2328,light_mode,light_env,8,0,30,30
8,1741873721531,3489,light_mode,light_env,u,v,31,31
8,1741873728650,7119,light_mode,light_env,7,T,32,32
8,1741873731891,3241,light_mode,light_env,o,e,33,33
8,1741873744955,13064,light_mode,light_env,0,8,34,34
8,1741873748107,3152,light_mode,light_env,v,u,35,35
8,1741873750187,2080,light_mode,light_env,T,7,36,36
8,1741873808171,57984,light_mode,light_env,e,o,37,37
8,1741873810067,1896,light_mode,light_env,8,0,38,38
8,1741873814595,4528,light_mode,light_env,u,v,39,39
8,1741873817931,3336,light_mode,light_env,7,T,40,40
8,1741873900794,4263,dark_mode,dark_env,o,e,1,41
8,1741873907210,6416,dark_mode,dark_env,0,8,2,42
8,1741873908770,1560,dark_mode,dark_env,v,u,3,43
8,1741873912883,4113,dark_mode,dark_env,T,7,4,44
8,1741873914106,1223,dark_mode,dark_env,e,o,5,45
8,1741873919459,5353,dark_mode,dark_env,8,0,6,46
8,1741873922066,2607,dark_mode,dark_env,u,v,7,47
8,1741873937699,15633,dark_mode,dark_env,7,T,8,48
8,1741873945987,8288,dark_mode,dark_env,o,e,9,49
8,1741873951458,5471,dark_mode,dark_env,0,8,10,50
8,1741873956851,5393,dark_mode,dark_env,v,u,11,51
8,1741873968338,11487,dark_mode,dark_env,T,7,12,52
8,1741873995626,27288,dark_mode,dark_env,e,o,13,53
8,1741874005435,9809,dark_mode,dark_env,8,0,14,54
8,1741874007170,1735,dark_mode,dark_env,u,v,15,55
8,1741874032738,25568,dark_mode,dark_env,7,T,16,56
8,1741874039346,6608,dark_mode,dark_env,o,e,17,57
8,1741874048866,9520,dark_mode,dark_env,0,8,18,58
8,1741874055426,6560,dark_mode,dark_env,v,u,19,59
8,1741874059163,3737,dark_mode,dark_env,T,7,20,60
8,1741874061474,2311,dark_mode,dark_env,e,o,21,61
8,1741874067315,5841,dark_mode,dark_env,8,0,22,62
8,1741874074243,6928,dark_mode,dark_env,u,v,23,63
8,1741874092035,17792,dark_mode,dark_env,7,T,24,64
8,1741874095819,3784,dark_mode,dark_env,o,e,25,65
8,1741874130436,34617,dark_mode,dark_env,0,8,26,66
8,1741874137443,7007,dark_mode,dark_env,v,u,27,67
8,1741874138699,1256,dark_mode,dark_env,T,7,28,68
8,1741874142499,3800,dark_mode,dark_env,e,o,29,69
8,1741874160747,18248,dark_mode,dark_env,8,0,30,70
8,1741874178548,17801,dark_mode,dark_env,u,v,31,71
8,1741874180803,2255,dark_mode,dark_env,7,T,32,72
8,1741874209131,28328,dark_mode,dark_env,o,e,33,73
8,1741874235355,26224,dark_mode,dark_env,0,8,34,74
8,1741874241314,5959,dark_mode,dark_env,v,u,35,75
8,1741874243418,2104,dark_mode,dark_env,T,7,36,76
8,1741874254930,11512,dark_mode,dark_env,e,o,37,77
8,1741874267090,12160,dark_mode,dark_env,8,0,38,78
8,1741874270507,3417,dark_mode,dark_env,u,v,39,79
8,1741874274370,3863,dark_mode,dark_env,7,T,40,80
8,1741874338419,2696,dark_mode,light_env,o,e,1,81
8,1741874344835,6416,dark_mode,light_env,0,8,2,82
8,1741874347474,2639,dark_mode,light_env,v,u,3,83
8,1741874351187,3713,dark_mode,light_env,T,7,4,84
8,1741874353635,2448,dark_mode,light_env,e,o,5,85
8,1741874365771,12136,dark_mode,light_env,8,0,6,86
8,1741874374394,8623,dark_mode,light_env,u,v,7,87
8,1741874377955,3561,dark_mode,light_env,7,T,8,88
8,1741874379003,1048,dark_mode,light_env,o,e,9,89
8,1741874383227,4224,dark_mode,light_env,0,8,10,90
8,1741874385459,2232,dark_mode,light_env,v,u,11,91
8,1741874389547,4088,dark_mode,light_env,T,7,12,92
8,1741874392363,2816,dark_mode,light_env,e,o,13,93
8,1741874395107,2744,dark_mode,light_env,8,0,14,94
8,1741874396714,1607,dark_mode,light_env,u,v,15,95
8,1741874402539,5825,dark_mode,light_env,7,T,16,96
8,1741874406651,4112,dark_mode,light_env,o,e,17,97
8,1741874407842,1191,dark_mode,light_env,0,8,18,98
8,1741874411491,3649,dark_mode,light_env,v,u,19,99
8,1741874412954,1463,dark_mode,light_env,T,7,20,100
8,1741874417019,4065,dark_mode,light_env,e,o,21,101
8,1741874429627,12608,dark_mode,light_env,8,0,22,102
8,1741874431266,1639,dark_mode,light_env,u,v,23,103
8,1741874432666,1400,dark_mode,light_env,7,T,24,104
