participant_id,timestamp,time_to_finish,ui_mode,environment,fill_character,outlier_character,trial,trial_combined
13,1743069509451,5840,dark_mode,dark_env,o,e,1,1
13,1743069511499,2048,dark_mode,dark_env,0,8,2,2
13,1743069523163,11664,dark_mode,dark_env,v,u,3,3
13,1743069526562,3399,dark_mode,dark_env,T,7,4,4
13,1743069535186,8624,dark_mode,dark_env,e,o,5,5
13,1743069583546,48360,dark_mode,dark_env,8,0,6,6
13,1743069602619,19073,dark_mode,dark_env,u,v,7,7
13,1743069604914,2295,dark_mode,dark_env,7,T,8,8
13,1743069607386,2472,dark_mode,dark_env,o,e,9,9
13,1743069650714,43328,dark_mode,dark_env,0,8,10,10
13,1743069654322,3608,dark_mode,dark_env,v,u,11,11
13,1743069656098,1776,dark_mode,dark_env,T,7,12,12
13,1743069658122,2024,dark_mode,dark_env,e,o,13,13
13,1743069659866,1744,dark_mode,dark_env,8,0,14,14
13,1743069663442,3576,dark_mode,dark_env,u,v,15,15
13,1743069669802,6360,dark_mode,dark_env,7,T,16,16
13,1743069678714,8912,dark_mode,dark_env,o,e,17,17
13,1743069688050,9336,dark_mode,dark_env,0,8,18,18
13,1743069691378,3328,dark_mode,dark_env,v,u,19,19
13,1743069692850,1472,dark_mode,dark_env,T,7,20,20
13,1743069698706,5856,dark_mode,dark_env,e,o,21,21
13,1743069756666,57960,dark_mode,dark_env,8,0,22,22
13,1743069758538,1872,dark_mode,dark_env,u,v,23,23
13,1743069779018,20480,dark_mode,dark_env,7,T,24,24
13,1743069783594,4576,dark_mode,dark_env,o,e,25,25
13,1743069833594,50000,dark_mode,dark_env,0,8,26,26
13,1743069865457,31863,dark_mode,dark_env,v,u,27,27
13,1743069868234,2777,dark_mode,dark_env,T,7,28,28
13,1743069870433,2199,dark_mode,dark_env,e,o,29,29
13,1743069879490,9057,dark_mode,dark_env,8,0,30,30
13,1743069881777,2287,dark_mode,dark_env,u,v,31,31
13,1743069902711,20934,dark_mode,dark_env,7,T,32,32
13,1743069908289,5578,dark_mode,dark_env,o,e,33,33
13,1743069928066,19777,dark_mode,dark_env,0,8,34,34
13,1743069933514,5448,dark_mode,dark_env,v,u,35,35
13,1743069958474,24960,dark_mode,dark_env,T,7,36,36
13,1743069975434,16960,dark_mode,dark_env,e,o,37,37
13,1743069988770,13336,dark_mode,dark_env,8,0,38,38
13,1743069992290,3520,dark_mode,dark_env,u,v,39,39
13,1743069998866,6576,dark_mode,dark_env,7,T,40,40
13,1743070090570,1432,light_mode,dark_env,o,e,1,41
13,1743070097354,6784,light_mode,dark_env,0,8,2,42
13,1743070100154,2800,light_mode,dark_env,v,u,3,43
13,1743070101866,1712,light_mode,dark_env,T,7,4,44
13,1743070103922,2056,light_mode,dark_env,e,o,5,45
13,1743070109842,5920,light_mode,dark_env,8,0,6,46
13,1743070111202,1360,light_mode,dark_env,u,v,7,47
13,1743070112570,1368,light_mode,dark_env,7,T,8,48
13,1743070113642,1072,light_mode,dark_env,o,e,9,49
13,1743070139938,26296,light_mode,dark_env,0,8,10,50
13,1743070141691,1753,light_mode,dark_env,v,u,11,51
13,1743070145971,4280,light_mode,dark_env,T,7,12,52
13,1743070150363,4392,light_mode,dark_env,e,o,13,53
13,1743070162410,12047,light_mode,dark_env,8,0,14,54
13,1743070164794,2384,light_mode,dark_env,u,v,15,55
13,1743070169299,4505,light_mode,dark_env,7,T,16,56
13,1743070171747,2448,light_mode,dark_env,o,e,17,57
13,1743070245947,74200,light_mode,dark_env,0,8,18,58
13,1743070247500,1553,light_mode,dark_env,v,u,19,59
13,1743070252412,4912,light_mode,dark_env,T,7,20,60
13,1743070262227,9815,light_mode,dark_env,e,o,21,61
13,1743070268851,6624,light_mode,dark_env,8,0,22,62
13,1743070270323,1472,light_mode,dark_env,u,v,23,63
13,1743070274387,4064,light_mode,dark_env,7,T,24,64
13,1743070277324,2937,light_mode,dark_env,o,e,25,65
13,1743070353189,75865,light_mode,dark_env,0,8,26,66
13,1743070362924,9735,light_mode,dark_env,v,u,27,67
13,1743070365612,2688,light_mode,dark_env,T,7,28,68
13,1743070374676,9064,light_mode,dark_env,e,o,29,69
13,1743070384308,9632,light_mode,dark_env,8,0,30,70
13,1743070386252,1944,light_mode,dark_env,u,v,31,71
13,1743070387924,1672,light_mode,dark_env,7,T,32,72
13,1743070390053,2129,light_mode,dark_env,o,e,33,73
13,1743070398100,8047,light_mode,dark_env,0,8,34,74
13,1743070400221,2121,light_mode,dark_env,v,u,35,75
13,1743070405964,5743,light_mode,dark_env,T,7,36,76
13,1743070421150,15186,light_mode,dark_env,e,o,37,77
13,1743070454278,33128,light_mode,dark_env,8,0,38,78
13,1743070455550,1272,light_mode,dark_env,u,v,39,79
13,1743070457414,1864,light_mode,dark_env,7,T,40,80
13,1743070526957,12911,light_mode,light_env,o,e,1,81
13,1743070553325,26368,light_mode,light_env,0,8,2,82
13,1743070557302,3977,light_mode,light_env,v,u,3,83
13,1743070560566,3264,light_mode,light_env,T,7,4,84
13,1743070565678,5112,light_mode,light_env,e,o,5,85
13,1743070566998,1320,light_mode,light_env,8,0,6,86
13,1743070568958,1960,light_mode,light_env,u,v,7,87
13,1743070570110,1152,light_mode,light_env,7,T,8,88
13,1743070589086,18976,light_mode,light_env,o,e,9,89
13,1743070604598,15512,light_mode,light_env,0,8,10,90
13,1743070606094,1496,light_mode,light_env,v,u,11,91
13,1743070607622,1528,light_mode,light_env,T,7,12,92
13,1743070611797,4175,light_mode,light_env,e,o,13,93
13,1743070633327,21530,light_mode,light_env,8,0,14,94
13,1743070635142,1815,light_mode,light_env,u,v,15,95
13,1743070637038,1896,light_mode,light_env,7,T,16,96
13,1743070639390,2352,light_mode,light_env,o,e,17,97
13,1743070660671,21281,light_mode,light_env,0,8,18,98
13,1743070662278,1607,light_mode,light_env,v,u,19,99
13,1743070663582,1304,light_mode,light_env,T,7,20,100
13,1743070667598,4016,light_mode,light_env,e,o,21,101
13,1743070672990,5392,light_mode,light_env,8,0,22,102
13,1743070674798,1808,light_mode,light_env,u,v,23,103
13,1743070676678,1880,light_mode,light_env,7,T,24,104
13,1743070678415,1737,light_mode,light_env,o,e,25,105
13,1743070767006,88591,light_mode,light_env,0,8,26,106
13,1743070768486,1480,light_mode,light_env,v,u,27,107
13,1743070772478,3992,light_mode,light_env,T,7,28,108
13,1743070777423,4945,light_mode,light_env,e,o,29,109
13,1743070789070,11647,light_mode,light_env,8,0,30,110
13,1743070792990,3920,light_mode,light_env,u,v,31,111
