participant_id,timestamp,time_to_finish,ui_mode,environment,fill_character,outlier_character,trial,trial_combined
5,1741791547624,2327,dark_mode,dark_env,o,e,1,1
5,1741791581415,33791,dark_mode,dark_env,0,8,2,2
5,1741791593871,12456,dark_mode,dark_env,v,u,3,3
5,1741791599070,5199,dark_mode,dark_env,T,7,4,4
5,1741791604975,5905,dark_mode,dark_env,e,o,5,5
5,1741791621623,16648,dark_mode,dark_env,8,0,6,6
5,1741791646072,24449,dark_mode,dark_env,u,v,7,7
5,1741791665184,19112,dark_mode,dark_env,7,T,8,8
5,1741791668343,3159,dark_mode,dark_env,o,e,9,9
5,1741791698176,29833,dark_mode,dark_env,0,8,10,10
5,1741791703567,5391,dark_mode,dark_env,v,u,11,11
5,1741791711930,8363,dark_mode,dark_env,T,7,12,12
5,1741791716041,4111,dark_mode,dark_env,e,o,13,13
5,1741791721425,5384,dark_mode,dark_env,8,0,14,14
5,1741791723297,1872,dark_mode,dark_env,u,v,15,15
5,1741791728185,4888,dark_mode,dark_env,7,T,16,16
5,1741791730449,2264,dark_mode,dark_env,o,e,17,17
5,1741791761353,30904,dark_mode,dark_env,0,8,18,18
5,1741791783841,22488,dark_mode,dark_env,v,u,19,19
5,1741791797841,14000,dark_mode,dark_env,T,7,20,20
5,1741791801296,3455,dark_mode,dark_env,e,o,21,21
5,1741791838441,37145,dark_mode,dark_env,8,0,22,22
5,1741791852730,14289,dark_mode,dark_env,u,v,23,23
5,1741791855467,2737,dark_mode,dark_env,7,T,24,24
5,1741791857410,1943,dark_mode,dark_env,o,e,25,25
5,1741791871243,13833,dark_mode,dark_env,0,8,26,26
5,1741791895242,23999,dark_mode,dark_env,v,u,27,27
5,1741791897970,2728,dark_mode,dark_env,T,7,28,28
5,1741791905899,7929,dark_mode,dark_env,e,o,29,29
5,1741791914195,8296,dark_mode,dark_env,8,0,30,30
5,1741791915330,1135,dark_mode,dark_env,u,v,31,31
5,1741791931515,16185,dark_mode,dark_env,7,T,32,32
5,1741791936531,5016,dark_mode,dark_env,o,e,33,33
5,1741791960498,23967,dark_mode,dark_env,0,8,34,34
