participant_id,timestamp,time_to_finish,ui_mode,environment,fill_character,outlier_character,trial,trial_combined
14,1743168188275,4328,light_mode,dark_env,o,e,1,1
14,1743168196891,8616,light_mode,dark_env,0,8,2,2
14,1743168200428,3537,light_mode,dark_env,v,u,3,3
14,1743168202459,2031,light_mode,dark_env,T,7,4,4
14,1743168226691,24232,light_mode,dark_env,e,o,5,5
14,1743168232899,6208,light_mode,dark_env,8,0,6,6
14,1743168235067,2168,light_mode,dark_env,u,v,7,7
14,1743168238331,3264,light_mode,dark_env,7,T,8,8
14,1743168240267,1936,light_mode,dark_env,o,e,9,9
14,1743168251667,11400,light_mode,dark_env,0,8,10,10
14,1743168255371,3704,light_mode,dark_env,v,u,11,11
14,1743168257267,1896,light_mode,dark_env,T,7,12,12
14,1743168261739,4472,light_mode,dark_env,e,o,13,13
14,1743168278827,17088,light_mode,dark_env,8,0,14,14
14,1743168282875,4048,light_mode,dark_env,u,v,15,15
14,1743168288747,5872,light_mode,dark_env,7,T,16,16
14,1743168292723,3976,light_mode,dark_env,o,e,17,17
14,1743168301491,8768,light_mode,dark_env,0,8,18,18
14,1743168304658,3167,light_mode,dark_env,v,u,19,19
14,1743168307691,3033,light_mode,dark_env,T,7,20,20
14,1743168315411,7720,light_mode,dark_env,e,o,21,21
14,1743168319986,4575,light_mode,dark_env,8,0,22,22
14,1743168332890,12904,light_mode,dark_env,u,v,23,23
14,1743168339138,6248,light_mode,dark_env,7,T,24,24
14,1743168345738,6600,light_mode,dark_env,o,e,25,25
14,1743168347418,1680,light_mode,dark_env,0,8,26,26
14,1743168355074,7656,light_mode,dark_env,v,u,27,27
14,1743168356946,1872,light_mode,dark_env,T,7,28,28
14,1743168363098,6152,light_mode,dark_env,e,o,29,29
14,1743168365498,2400,light_mode,dark_env,8,0,30,30
14,1743168366625,1127,light_mode,dark_env,u,v,31,31
14,1743168368498,1873,light_mode,dark_env,7,T,32,32
14,1743168370074,1576,light_mode,dark_env,o,e,33,33
14,1743168379058,8984,light_mode,dark_env,0,8,34,34
14,1743168382826,3768,light_mode,dark_env,v,u,35,35
14,1743168384090,1264,light_mode,dark_env,T,7,36,36
14,1743168386130,2040,light_mode,dark_env,e,o,37,37
14,1743168386930,800,light_mode,dark_env,8,0,38,38
14,1743168389490,2560,light_mode,dark_env,u,v,39,39
14,1743168393658,4168,light_mode,dark_env,7,T,40,40
14,1743168465826,3232,dark_mode,light_env,o,e,1,41
14,1743168478626,12800,dark_mode,light_env,0,8,2,42
14,1743168489282,10656,dark_mode,light_env,v,u,3,43
14,1743168490530,1248,dark_mode,light_env,T,7,4,44
14,1743168492154,1624,dark_mode,light_env,e,o,5,45
14,1743168493945,1791,dark_mode,light_env,8,0,6,46
14,1743168496346,2401,dark_mode,light_env,u,v,7,47
14,1743168501130,4784,dark_mode,light_env,7,T,8,48
14,1743168502258,1128,dark_mode,light_env,o,e,9,49
14,1743168515733,13475,dark_mode,light_env,0,8,10,50
14,1743168521140,5407,dark_mode,light_env,v,u,11,51
